2025-12-10 17:12:33.108  1698-1895  TranDynami...rollerImpl system_server                        E  TranDynamicBarAnimControllerImpl setSimplifyAnimByLauncherType pkgName:com.rmst.biometrics
2025-12-10 17:12:33.108  1698-1895  TranDynami...rollerImpl system_server                        E  end setSimplifyAnimByLauncherType mSimplifyAnimOpenPkgName:com.rmst.biometrics simplifyAnimByLauncherType:0
2025-12-10 17:12:33.160  1698-4890  TranDynami...rollerImpl system_server                        E  TranDynamicBarAnimControllerImpl setSimplifyAnimByLauncherType pkgName:com.rmst.biometrics
2025-12-10 17:12:33.160  1698-4890  TranDynami...rollerImpl system_server                        E  end setSimplifyAnimByLauncherType mSimplifyAnimOpenPkgName:com.rmst.biometrics simplifyAnimByLauncherType:1
---------------------------- PROCESS STARTED (22361) for package com.rmst.biometrics ----------------------------
2025-12-10 17:12:33.564 22361-22361 DebugTheme...emeUpdated com.rmst.biometrics                  D  reload start !TranResourcesUtils.isRunningOnSystemServer()=true currentForegroundUser=0
2025-12-10 17:12:33.626 22361-22361 os.SingleLiceFactory    com.rmst.biometrics                  D  using android.app.IActivityThreadLice$DefaultImpl@cb7dba1 instead of com.transsion.activityembedding.ActivityEmbeddingLiceFactory  from android.app.IActivityThreadLice
2025-12-10 17:12:33.657 22361-22384 libMEOW                 com.rmst.biometrics                  D  meow new tls: 0xb4000070b6d16090
2025-12-10 17:12:33.657 22361-22384 libMEOW                 com.rmst.biometrics                  D  meow reload base cfg path: na
2025-12-10 17:12:33.657 22361-22384 libMEOW                 com.rmst.biometrics                  D  meow reload overlay cfg path: na
2025-12-10 17:12:33.657 22361-22384 QT                      com.rmst.biometrics                  W  qt_process_init() called
2025-12-10 17:12:33.657 22361-22384 QT                      com.rmst.biometrics                  E  [QT]file does not exist
2025-12-10 17:12:33.657 22361-22384 QT                      com.rmst.biometrics                  W  Support!!
2025-12-10 17:12:33.658 22361-22384 libMEOW_gift            com.rmst.biometrics                  I  open /data/performance/gift/arc.ini
2025-12-10 17:12:33.658 22361-22384 QT                      com.rmst.biometrics                  E  [QT]file does not exist
2025-12-10 17:12:33.658 22361-22384 libMEOW                 com.rmst.biometrics                  D  applied 1 plugins for [com.rmst.biometrics]:
2025-12-10 17:12:33.658 22361-22384 libMEOW                 com.rmst.biometrics                  D    plugin 1: [libMEOW_gift.so]: 0xb400007136c9f820
2025-12-10 17:12:33.658 22361-22384 libMEOW                 com.rmst.biometrics                  D  rebuild call chain: 0xb4000070b6d260a0
2025-12-10 17:12:33.658 22361-22384 libMEOW                 com.rmst.biometrics                  D  meow delete tls: 0xb4000070b6d16090
2025-12-10 17:12:33.666 22361-22361 ActivityThread          com.rmst.biometrics                  D  ++ activityComponent:com.rmst.biometrics/com.rmst.biometrics.SplashActivity counts:1 ALEAK_CLEAR_SUPPORT:true
2025-12-10 17:12:33.720 22361-22361 TranClassInfo           com.rmst.biometrics                  D  instance successfully. com.transsion.hubcore.internal.TranInternalViewImpl@ae8496b from com.transsion.hubcore.internal.ITranInternalView
2025-12-10 17:12:33.721 22361-22361 os.SingleLice           com.rmst.biometrics                  D  instance successfully. com.transsion.whitenavigation.v1.WhiteNavigationLice@f080cc8 from com.transsion.whitenavigation.WhiteNavigationLiceFactory
2025-12-10 17:12:33.721 22361-22361 os.SingleLiceFactory    com.rmst.biometrics                  D  instance successfully. com.transsion.whitenavigation.v1.WhiteNavigationLice@f080cc8 from com.android.internal.IInternalViewLice
2025-12-10 17:12:33.721 22361-22361 os.SingleLice           com.rmst.biometrics                  D  instance successfully. com.transsion.screenshothelper.v1.ScreenShotHelperImplLice@5029161 from com.transsion.screenshothelper.ScreenShotHelperImplLiceFactory
2025-12-10 17:12:33.721 22361-22361 os.SingleLiceFactory    com.rmst.biometrics                  D  instance successfully. com.transsion.screenshothelper.v1.ScreenShotHelperImplLice@5029161 from com.android.internal.IInternalViewLice
2025-12-10 17:12:33.722 22361-22361 os.SingleLiceFactory    com.rmst.biometrics                  D  using com.android.internal.IInternalViewLice$DefaultImpl@c69a486 instead of com.transsion.flamboyant.FlamboyantLiceFactory  from com.android.internal.IInternalViewLice
2025-12-10 17:12:33.722 22361-22361 os.LiceInfo             com.rmst.biometrics                  D  instance successfully. com.transsion.internal.InternalViewLice@ec01147 from com.android.internal.IInternalViewLice
2025-12-10 17:12:33.722 22361-22361 PhoneWindow             com.rmst.biometrics                  I  SplashActivity#generateLayout:Window_statusBarColor=0Xff757575
2025-12-10 17:12:33.723 22361-22361 WhiteNavigationLice     com.rmst.biometrics                  I  Modify naviBarColor to 0xFFF0F0F0, and windowBackgroundColor is fffafafa   /windowIsTranslucent:false
2025-12-10 17:12:33.723 22361-22361 WhiteNavigationLice     com.rmst.biometrics                  I  Modify naviBarColor to white 0xFFF0F0F0
2025-12-10 17:12:33.736 22361-22361 rmst.biometrics         com.rmst.biometrics                  W  Accessing hidden method Landroid/view/View;->computeFitSystemWindows(Landroid/graphics/Rect;Landroid/graphics/Rect;)Z (unsupported, reflection, allowed)
2025-12-10 17:12:33.736 22361-22361 rmst.biometrics         com.rmst.biometrics                  W  Accessing hidden method Landroid/view/ViewGroup;->makeOptionalFitsSystemWindows()V (unsupported, reflection, allowed)
2025-12-10 17:12:33.738 22361-22372 ActivityThreadLice      com.rmst.biometrics                  D  received OSMessage 110001
2025-12-10 17:12:33.739 22361-22372 ActivityThreadLice      com.rmst.biometrics                  D  send OSMessage 110001 to [-1]
2025-12-10 17:12:33.741 22361-22372 OSServiceManager        com.rmst.biometrics                  D  update local os service os.activity from null to android.os.BinderProxy@ebabe5e
2025-12-10 17:12:33.757 22361-22361 nativeloader            com.rmst.biometrics                  D  Load libpowerhalwrap_jni.so using system ns (caller=/system_ext/framework/mediatek-framework.jar): ok
2025-12-10 17:12:33.757 22361-22361 PowerHalWrapper         com.rmst.biometrics                  I  PowerHalWrapper.getInstance 
2025-12-10 17:12:33.758 22361-22361 M-ProMotion             com.rmst.biometrics                  I  M-ProMotion is disabled
2025-12-10 17:12:33.759 22361-22361 TranClassInfo           com.rmst.biometrics                  D  instance successfully. com.transsion.connectivity.linkbooming.TranMultilinkComponentImpl@895dca from com.transsion.hubcore.linkbooming.ITranMultilinkComponent
2025-12-10 17:12:33.760 22361-22385 PowerHalWrapper         com.rmst.biometrics                  I  PowerHalWrapper.getInstance 
2025-12-10 17:12:33.762 22361-22361 ActivityThread          com.rmst.biometrics                  D  handleResumeActivity#3 r.window=nulla.mFinished = falsewillBeVisible = true
2025-12-10 17:12:33.762 22361-22361 ActivityThread          com.rmst.biometrics                  D  handleResumeActivity#4 addView a.mVisibleFromClient=truea.mWindowAdded=falsedecor=DecorView@4a5cfb1[]
2025-12-10 17:12:33.762 22361-22361 ActivityThread          com.rmst.biometrics                  D  handleResumeActivity#5 addView decor=DecorView@4a5cfb1[]
2025-12-10 17:12:33.768 22361-22361 MbrainDebugManagerImpl  com.rmst.biometrics                  D  getService failed
2025-12-10 17:12:33.782 22361-22361 VRI[SplashActivity]     com.rmst.biometrics                  D  hardware acceleration = true, forceHwAccelerated = false
2025-12-10 17:12:33.783 22361-22361 ViewRootImpl            com.rmst.biometrics                  D  setView appearance:0 com.rmst.biometrics/com.rmst.biometrics.SplashActivity
2025-12-10 17:12:33.788 22361-22361 os.SingleLiceFactory    com.rmst.biometrics                  D  instance successfully. com.transsion.widget.v3.FloatingToolbarLice@e019ffa from com.android.internal.IInternalViewLice
2025-12-10 17:12:33.789 22361-22361 InputEventReceiver      com.rmst.biometrics                  D  Input log is disabled in InputEventReceiver.
2025-12-10 17:12:33.792 22361-22361 TranVersion             com.rmst.biometrics                  I  TranVersion static initializer: default = 35.3.9.1
                                                                                                     debug = false, debug_version = 35.3.9.1
2025-12-10 17:12:33.804 22361-22361 WhiteNavigationLice     com.rmst.biometrics                  I  add APPEARANCE_LIGHT_NAVIGATION_BARS for DecorView@4a5cfb1[SplashActivity]
2025-12-10 17:12:33.816 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [](id:575900000000,api:0,p:-1,c:22361) connect: controlledByApp=false
2025-12-10 17:12:33.817 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[SplashActivity]#0](f:0,a:0) constructor()
2025-12-10 17:12:33.817 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[SplashActivity]#0](f:0,a:0) update width=1080 height=2292 format=-1 mTransformHint=0
2025-12-10 17:12:33.823 22361-22381 libMEOW                 com.rmst.biometrics                  D  meow new tls: 0xb4000070b6d260a0
2025-12-10 17:12:33.823 22361-22381 libMEOW                 com.rmst.biometrics                  D  applied 1 plugins for [com.rmst.biometrics]:
2025-12-10 17:12:33.823 22361-22381 libMEOW                 com.rmst.biometrics                  D    plugin 1: [libMEOW_gift.so]: 0xb400007136c9f820
2025-12-10 17:12:33.823 22361-22381 libMEOW                 com.rmst.biometrics                  D  rebuild call chain: 0xb4000070b6d660e0
2025-12-10 17:12:33.842 22361-22381 MAGT_SYNC_FRAME         com.rmst.biometrics                  D  MAGT Sync: MAGT is not supported. Disabling Sync.
2025-12-10 17:12:33.845 22361-22381 libc                    com.rmst.biometrics                  W  Access denied finding property "vendor.mbrain.enabled"
2025-12-10 17:12:33.845 22361-22381 rmst.biometrics         com.rmst.biometrics                  D  MBrain is disabled
2025-12-10 17:12:33.845 22361-22381 rmst.biometrics         com.rmst.biometrics                  D  initMbrain failed
2025-12-10 17:12:33.857 22361-22381 GrallocExtra            com.rmst.biometrics                  I  gralloc_extra_query:is_SW3D 0
2025-12-10 17:12:33.857 22361-22381 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[SplashActivity]#0](f:0,a:1) acquireNextBufferLocked size=1080x2292 mFrameNumber=1 applyTransaction=true mTimestamp=157701542852552(auto) mPendingTransactions.size=0 graphicBufferId=96039763705856 transform=0
2025-12-10 17:12:33.857 22361-22381 BLASTBufferQueue        com.rmst.biometrics                  D  MS: debug.sf.msleep=0, bufferCount=2, ratio=0.900000
2025-12-10 17:12:33.857 22361-22381 libc                    com.rmst.biometrics                  W  Access denied finding property "vendor.mbrain.enabled"
2025-12-10 17:12:33.857 22361-22381 rmst.biometrics         com.rmst.biometrics                  D  MBrain is disabled
2025-12-10 17:12:33.857 22361-22381 rmst.biometrics         com.rmst.biometrics                  D  initMbrain failed
2025-12-10 17:12:33.871 22361-22447 InsetsController        com.rmst.biometrics                  I  Insets animation onAnimationStart mShow:false, mDurationMs:340, types:statusBars
2025-12-10 17:12:34.226 22361-22447 InsetsController        com.rmst.biometrics                  I  Insets animation onAnimationEnd
2025-12-10 17:12:34.240 22361-22447 InteractionJankMonitor  com.rmst.biometrics                  W  Initializing without READ_DEVICE_CONFIG permission. enabled=false, interval=1, missedFrameThreshold=3, frameTimeThreshold=64, package=com.rmst.biometrics
2025-12-10 17:12:35.398 22361-22365 rmst.biometrics         com.rmst.biometrics                  I  Compiler allocated 6969KB to compile void android.view.ViewRootImpl.performTraversals()
2025-12-10 17:12:35.755  1698-3129  TranDynami...rollerImpl system_server                        E  TranDynamicBarAnimControllerImpl setSimplifyAnimByLauncherType pkgName:com.rmst.biometrics
2025-12-10 17:12:35.755  1698-3129  TranDynami...rollerImpl system_server                        E  end setSimplifyAnimByLauncherType mSimplifyAnimOpenPkgName:com.rmst.biometrics simplifyAnimByLauncherType:0
2025-12-10 17:12:35.782 22361-22452 libMEOW                 com.rmst.biometrics                  D  meow new tls: 0xb4000070b6d760f0
2025-12-10 17:12:35.783 22361-22452 libMEOW                 com.rmst.biometrics                  D  applied 1 plugins for [com.rmst.biometrics]:
2025-12-10 17:12:35.783 22361-22452 libMEOW                 com.rmst.biometrics                  D    plugin 1: [libMEOW_gift.so]: 0xb400007136c9f820
2025-12-10 17:12:35.783 22361-22452 libMEOW                 com.rmst.biometrics                  D  rebuild call chain: 0xb4000070b6d86100
2025-12-10 17:12:35.783 22361-22452 libMEOW                 com.rmst.biometrics                  D  meow delete tls: 0xb4000070b6d760f0
2025-12-10 17:12:35.784 22361-22361 ActivityThread          com.rmst.biometrics                  D  ++ activityComponent:com.rmst.biometrics/com.rmst.biometrics.MainActivity counts:1 ALEAK_CLEAR_SUPPORT:true
2025-12-10 17:12:35.821 22361-22361 PhoneWindow             com.rmst.biometrics                  I  MainActivity#generateLayout:Window_statusBarColor=0Xff8a2438
2025-12-10 17:12:35.821 22361-22361 WhiteNavigationLice     com.rmst.biometrics                  I  Modify naviBarColor to 0xFFF0F0F0, and windowBackgroundColor is ffffffff   /windowIsTranslucent:false
2025-12-10 17:12:35.822 22361-22361 WhiteNavigationLice     com.rmst.biometrics                  I  Modify naviBarColor to white 0xFFF0F0F0
2025-12-10 17:12:35.830 22361-22361 os.FrameworkDoorMan     com.rmst.biometrics                  D  add field mTypefaceNative to class android.graphics.Paint by source-modified.
2025-12-10 17:12:35.830 22361-22361 os.FrameworkDoorMan     com.rmst.biometrics                  D  add field mOSTypefaceFlag to class android.graphics.Paint by source-modified.
2025-12-10 17:12:35.832 22361-22361 CompatChangeReporter    com.rmst.biometrics                  D  Compat change id reported: 210923482; UID 10271; state: ENABLED
2025-12-10 17:12:35.865 22361-22361 ActivityThread          com.rmst.biometrics                  D  handleResumeActivity#3 r.window=nulla.mFinished = falsewillBeVisible = true
2025-12-10 17:12:35.865 22361-22361 ActivityThread          com.rmst.biometrics                  D  handleResumeActivity#4 addView a.mVisibleFromClient=truea.mWindowAdded=falsedecor=DecorView@f3638ae[]
2025-12-10 17:12:35.865 22361-22361 ActivityThread          com.rmst.biometrics                  D  handleResumeActivity#5 addView decor=DecorView@f3638ae[]
2025-12-10 17:12:35.869 22361-22361 VRI[MainActivity]       com.rmst.biometrics                  D  hardware acceleration = true, forceHwAccelerated = false
2025-12-10 17:12:35.869 22361-22361 ViewRootImpl            com.rmst.biometrics                  D  setView appearance:0 com.rmst.biometrics/com.rmst.biometrics.MainActivity
2025-12-10 17:12:35.872 22361-22361 InputEventReceiver      com.rmst.biometrics                  D  Input log is disabled in InputEventReceiver.
2025-12-10 17:12:35.887 22361-22361 WhiteNavigationLice     com.rmst.biometrics                  I  add APPEARANCE_LIGHT_NAVIGATION_BARS for DecorView@f3638ae[MainActivity]
2025-12-10 17:12:35.896 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [](id:575900000001,api:0,p:-1,c:22361) connect: controlledByApp=false
2025-12-10 17:12:35.896 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[MainActivity]#1](f:0,a:0) constructor()
2025-12-10 17:12:35.896 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[MainActivity]#1](f:0,a:0) update width=1080 height=2400 format=-1 mTransformHint=0
2025-12-10 17:12:35.924 22361-22381 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[MainActivity]#1](f:0,a:1) acquireNextBufferLocked size=1080x2400 mFrameNumber=1 applyTransaction=true mTimestamp=157703609579321(auto) mPendingTransactions.size=0 graphicBufferId=96039763705867 transform=0
2025-12-10 17:12:35.925 22361-22361 Choreographer           com.rmst.biometrics                  W  Already have a pending vsync event.  There should only be one at a time.
2025-12-10 17:12:35.948 22361-22447 InsetsController        com.rmst.biometrics                  I  Insets animation onAnimationStart mShow:true, mDurationMs:500, types:statusBars
2025-12-10 17:12:36.261 22361-22361 VRI[SplashActivity]     com.rmst.biometrics                  D  visibilityChanged oldVisibility=true newVisibility=false
2025-12-10 17:12:36.287 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[SplashActivity]#0](f:0,a:1) destructor()
2025-12-10 17:12:36.287 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [VRI[SplashActivity]#0(BLAST Consumer)0](id:575900000000,api:0,p:-1,c:22361) disconnect
2025-12-10 17:12:36.290 22361-22361 ActivityThread          com.rmst.biometrics                  D  mToDestroying.remove:ActivityRecord{7e5abd1 token=android.os.BinderProxy@be7be81 {com.rmst.biometrics/com.rmst.biometrics.SplashActivity}}
2025-12-10 17:12:36.292 22361-22361 WindowOnBackDispatcher  com.rmst.biometrics                  W  sendCancelIfRunning: isInProgress=false callback=android.view.ViewRootImpl$$ExternalSyntheticLambda12@1746b3
2025-12-10 17:12:36.293 22361-22361 View                    com.rmst.biometrics                  D  [Warning] assignParent to null: this = DecorView@4a5cfb1[SplashActivity]
2025-12-10 17:12:36.462 22361-22447 InsetsController        com.rmst.biometrics                  I  Insets animation onAnimationEnd
2025-12-10 17:12:36.666 22361-22365 rmst.biometrics         com.rmst.biometrics                  I  Compiler allocated 4215KB to compile void android.widget.TextView.<init>(android.content.Context, android.util.AttributeSet, int, int)
2025-12-10 17:12:38.195 22361-22372 FdLeakLice              com.rmst.biometrics                  D  FdLeakCheck app is not systemapp!!!
2025-12-10 17:13:01.516 22361-22361 os.LiceInfo             com.rmst.biometrics                  D  instance successfully. com.transsion.message.bank.v1.MessageBankLice@1c8340d from com.transsion.message.bank.IMessageBankLice
2025-12-10 17:13:01.517 22361-22361 TextSelection           com.rmst.biometrics                  D  call hasMessage cause invalidateCache
2025-12-10 17:13:01.537 22361-22366 rmst.biometrics         com.rmst.biometrics                  W  Cleared Reference was only reachable from finalizer (only reported once)
2025-12-10 17:13:01.638  1698-5047  TranDynami...rollerImpl system_server                        E  TranDynamicBarAnimControllerImpl setSimplifyAnimByLauncherType pkgName:com.rmst.biometrics
2025-12-10 17:13:01.638  1698-5047  TranDynami...rollerImpl system_server                        E  end setSimplifyAnimByLauncherType mSimplifyAnimOpenPkgName:com.rmst.biometrics simplifyAnimByLauncherType:0
2025-12-10 17:13:01.670 22361-22550 libMEOW                 com.rmst.biometrics                  D  meow new tls: 0xb4000070b6dc6140
2025-12-10 17:13:01.670 22361-22550 libMEOW                 com.rmst.biometrics                  D  applied 1 plugins for [com.rmst.biometrics]:
2025-12-10 17:13:01.670 22361-22550 libMEOW                 com.rmst.biometrics                  D    plugin 1: [libMEOW_gift.so]: 0xb400007136c9f820
2025-12-10 17:13:01.671 22361-22550 libMEOW                 com.rmst.biometrics                  D  rebuild call chain: 0xb4000070b6df6170
2025-12-10 17:13:01.671 22361-22550 libMEOW                 com.rmst.biometrics                  D  meow delete tls: 0xb4000070b6dc6140
2025-12-10 17:13:01.673 22361-22361 ActivityThread          com.rmst.biometrics                  D  ++ activityComponent:com.rmst.biometrics/com.biometrics.BiometricsActivity counts:1 ALEAK_CLEAR_SUPPORT:true
2025-12-10 17:13:01.685 22361-22361 PhoneWindow             com.rmst.biometrics                  I  BiometricsActivity#generateLayout:Window_statusBarColor=0Xff8a2438
2025-12-10 17:13:01.685 22361-22361 WhiteNavigationLice     com.rmst.biometrics                  I  Modify naviBarColor to 0xFFF0F0F0, and windowBackgroundColor is ffffffff   /windowIsTranslucent:false
2025-12-10 17:13:01.685 22361-22361 WhiteNavigationLice     com.rmst.biometrics                  I  Modify naviBarColor to white 0xFFF0F0F0
2025-12-10 17:13:01.727 22361-22361 ActivityThread          com.rmst.biometrics                  D  handleResumeActivity#3 r.window=nulla.mFinished = falsewillBeVisible = true
2025-12-10 17:13:01.727 22361-22361 ActivityThread          com.rmst.biometrics                  D  handleResumeActivity#4 addView a.mVisibleFromClient=truea.mWindowAdded=falsedecor=DecorView@813a43e[]
2025-12-10 17:13:01.727 22361-22361 ActivityThread          com.rmst.biometrics                  D  handleResumeActivity#5 addView decor=DecorView@813a43e[]
2025-12-10 17:13:01.734 22361-22361 VRI[BiometricsActivity] com.rmst.biometrics                  D  hardware acceleration = true, forceHwAccelerated = false
2025-12-10 17:13:01.734 22361-22361 ViewRootImpl            com.rmst.biometrics                  D  setView appearance:0 com.rmst.biometrics/com.biometrics.BiometricsActivity
2025-12-10 17:13:01.737 22361-22361 InputEventReceiver      com.rmst.biometrics                  D  Input log is disabled in InputEventReceiver.
2025-12-10 17:13:01.742 22361-22361 WhiteNavigationLice     com.rmst.biometrics                  I  add APPEARANCE_LIGHT_NAVIGATION_BARS for DecorView@813a43e[BiometricsActivity]
2025-12-10 17:13:01.752 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [](id:575900000002,api:0,p:-1,c:22361) connect: controlledByApp=false
2025-12-10 17:13:01.752 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[BiometricsActivity]#2](f:0,a:0) constructor()
2025-12-10 17:13:01.752 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[BiometricsActivity]#2](f:0,a:0) update width=1080 height=2400 format=-1 mTransformHint=0
2025-12-10 17:13:01.759 22361-22381 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[BiometricsActivity]#2](f:0,a:1) acquireNextBufferLocked size=1080x2400 mFrameNumber=1 applyTransaction=true mTimestamp=157729445266322(auto) mPendingTransactions.size=0 graphicBufferId=96039763705868 transform=0
2025-12-10 17:13:01.764 22361-22361 Choreographer           com.rmst.biometrics                  W  Already have a pending vsync event.  There should only be one at a time.
2025-12-10 17:13:02.080 22361-22361 VRI[MainActivity]       com.rmst.biometrics                  D  visibilityChanged oldVisibility=true newVisibility=false
2025-12-10 17:13:02.089 22361-22381 HWUI                    com.rmst.biometrics                  D  endAllActiveAnimators on 0xb400007086cfecf0 (RippleDrawable) with handle 0xb400007236ccf9d0
2025-12-10 17:13:02.094 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[MainActivity]#1](f:0,a:1) destructor()
2025-12-10 17:13:02.094 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [VRI[MainActivity]#1(BLAST Consumer)1](id:575900000001,api:0,p:-1,c:22361) disconnect
2025-12-10 17:13:02.776 22361-22564 CameraManagerGlobal     com.rmst.biometrics                  I  Connecting to camera service
2025-12-10 17:13:02.784 22361-22564 TranClassInfo           com.rmst.biometrics                  D  instance successfully. com.transsion.camera.camadapter.Implement.TranCamAdapterComponentImpl@c90c8e7 from com.transsion.hubcore.camadapter.ITranCamAdapterComponent
2025-12-10 17:13:02.784 22361-22564 TranClassInfo           com.rmst.biometrics                  D  instance successfully. com.transsion.hubcore.hardware.camera2.TranCameraManagerImpl@861c94 from com.transsion.hubcore.hardware.camera2.ITranCameraManager
2025-12-10 17:13:02.796 22361-22564 CameraRepository        com.rmst.biometrics                  D  Added camera: 0
2025-12-10 17:13:02.805 22361-22564 TranClassInfo           com.rmst.biometrics                  D  instance successfully. com.transsion.hubcore.hardware.camera2.impl.TranCameraMetadataNativeImpl@377347e from com.transsion.hubcore.hardware.camera2.impl.ITranCameraMetadataNative
2025-12-10 17:13:02.813 22361-22564 Camera2CameraInfo       com.rmst.biometrics                  I  Device Level: INFO_SUPPORTED_HARDWARE_LEVEL_FULL
2025-12-10 17:13:02.815 22361-22564 CameraRepository        com.rmst.biometrics                  D  Added camera: 1
2025-12-10 17:13:02.820 22361-22562 nativeloader            com.rmst.biometrics                  D  Load /data/app/~~e-s_eUUU0ObzHlcAnb0DXw==/com.rmst.biometrics-tpkas6IPNKh-DpndU6De7Q==/base.apk!/lib/arm64-v8a/libmediapipe_tasks_vision_jni.so using ns clns-7 from class loader (caller=/data/app/~~e-s_eUUU0ObzHlcAnb0DXw==/com.rmst.biometrics-tpkas6IPNKh-DpndU6De7Q==/base.apk!classes11.dex): ok
2025-12-10 17:13:02.824 22361-22564 Camera2CameraInfo       com.rmst.biometrics                  I  Device Level: INFO_SUPPORTED_HARDWARE_LEVEL_FULL
2025-12-10 17:13:02.825 22361-22564 CameraValidator         com.rmst.biometrics                  D  Verifying camera lens facing on TECNO-KM6, lensFacingInteger: null
2025-12-10 17:13:02.847 22361-22361 TranClassInfo           com.rmst.biometrics                  D  instance successfully. com.transsion.hubcore.hardware.camera2.params.TranStreamConfigurationMapImpl@9c124fd from com.transsion.hubcore.hardware.camera2.params.ITranStreamConfigurationMap
